GEOID,NAME,NAMELSAD,ALAND,DISTRICT,TCODE,SCHID
5001127100,Franklin,Franklin town,99934777,Missisquoi Valley School Distrist,234,078
5001127700,Georgia,Georgia town,101909652,Georgia,237,079
5000327962,Glastenbury,Glastenbury town,115027385,Glastenbury,240,259
5001928075,Glover,Glover town,97274448,Lake Region UHSD,243,080
5001928075,Glover,Glover town,97274448,Lake Region Union Elm-Middle SD,243,080
5000128600,Goshen,Goshen town,53303535,Otter Valley UUSD,246,081
5002528900,Grafton,Grafton town,98773085,Athens Grafton UESD,249,082
5002528900,Grafton,Grafton town,98773085,Bellows Falls UHSD,249,082
5000929125,Granby,Granby town,100282642,Northeast Kingdom Choice School District,252,083
5001329275,Grand Isle,Grand Isle town,42510685,Champlain Islands UUSD,255,084
5000129575,Granville,Granville town,131792676,Granville-Hancock Unified District,261,085
5001930175,Greensboro,Greensboro town,97906517,Hazen UHSD,264,086
5001930175,Greensboro,Greensboro town,97906517,Mountain View UESD,264,086
5000530550,Groton,Groton town,139414527,Blue Mountain USD,267,087
5000930775,Guildhall,Guildhall town,85391281,Northeast Kingdom Choice School District,270,088
5002530925,Guilford,Guilford town,102422834,Windham Southeast SD,273,089
5002531150,Halifax,Halifax town,102868738,Halifax,276,090
5000131525,Hancock,Hancock town,99657749,Granville-Hancock Unified District,279,091
5000531825,Hardwick,Hardwick town,99107582,Hazen UHSD,282,092
5000531825,Hardwick,Hardwick town,99107582,Mountain View UESD,282,092
5002732275,Hartford,Hartford town,116836775,Hartford,285,093
5002732425,Hartland,Hartland town,117145787,Hartland,288,094
5001133025,Highgate,Highgate town,132156861,Missisquoi Valley School Distrist,291,095
5000733475,Hinesburg,Hinesburg town,101781959,Champlain Valley USD,294,096
5001933775,Holland,Holland town,98241076,Holland,297,097
5001933775,Holland,Holland town,98241076,North Country Jr UHSD,297,097
5001933775,Holland,Holland town,98241076,North Country Sr UHSD,297,097
5002134450,Hubbardton,Hubbardton town,70505640,Slate Valley UUSD,300,098
5000734600,Huntington,Huntington town,99009762,Mt. Mansfield UUSD,303,099
5001535050,Hyde Park,Hyde Park town,97566215,Lamoille North MUSD A,306,100
5001535050,Hyde Park,Hyde Park town,97566215,Lamoille North MUSD B,306,100
5002135425,Ira,Ira town,57660948,Ira,309,101
5001935575,Irasburg,Irasburg town,104302251,Lake Region UHSD,312,102
5001935575,Irasburg,Irasburg town,104302251,Lake Region Union Elm-Middle SD,312,102
5001335875,Isle La Motte,Isle La Motte town,20421053,Champlain Islands UUSD,318,103
5002536175,Jamaica,Jamaica town,126769896,West River Modified Union Education District,324,104
5001936325,Jay,Jay town,87840666,Jay,327,105
5001936325,Jay,Jay town,87840666,North Country Jr UHSD,327,105
5001936325,Jay,Jay town,87840666,North Country Sr UHSD,327,105
5000736700,Jericho,Jericho town,91829001,Mt. Mansfield UUSD,333,106
5001537075,Johnson,Johnson town,117378144,Lamoille North MUSD A,336,107
